Asset,Class,FullName, NVDA,Single Stocks,NVIDIA Corporation, AAPL,Single Stocks,Apple Inc.
SPY,ETFs,SPDR S&P 500 ETF Trust
QQQ,ETFs,Invesco QQQ Trust
VTI,ETFs,Vanguard Total Stock Market ETF
IWM,ETFs,iShares Russell 2000 ETF
VXUS,ETFs,Vanguard Total International Stock ETF
SHY,Bonds,iShares 1-3 Year Treasury Bond ETF
TLT,Bonds,iShares 20+ Year Treasury Bond ETF
IEF,Bonds,iShares 7-10 Year Treasury Bond ETF
MSFT,Single Stocks,Microsoft Corporation
JPM,Single Stocks,JPMorgan Chase & Co.
XOM,Single Stocks,Exxon Mobil Corporation
LMT,Single Stocks,Lockheed Martin Corporation
PGR,Single Stocks,The Progressive Corporation
JNJ,Single Stocks,Johnson & Johnson
GM,Single Stocks,General Motors Company
WMT,Single Stocks,Walmart Inc.
BA,Single Stocks,The Boeing Company
GLD,Commodities,SPDR Gold Shares
SLV,Commodities,iShares Silver Trust
USO,Commodities,United States Oil Fund
DBB,Commodities,Invesco DB Base Metals Fund
DBA,Commodities,Invesco DB Agriculture Fund
